Isolate,Host,Leukocidin (lukD),Leukocidin (lukE),Leukocidin (lukF-like),Leukocidin (lukF-PV),Leukocidin (lukG),Leukocidin (lukH),Leukocidin (lukM),Leukocidin (lukS-PV),Staphylococcal protein A (spa),Superantigen protein (set16),Superantigen protein (set19),Superantigen protein (set21),Superantigen protein (set26),Superantigen protein (set31),Superantigen protein (set32),Superantigen protein (set34),Superantigen protein (set36),Superantigen protein (set37),Superantigen protein (set39),Toxic shock syndrome (tsst-1)
SRR12701064,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701065,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701066,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701067,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701068,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701069,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701070,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701071,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701072,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701073,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701074,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701075,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701076,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701077,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701078,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701079,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701080,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701081,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701082,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701083,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701089,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701090,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701091,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701092,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR12701094,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727438,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727439,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727440,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727442,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727444,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
SRR20727445,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727446,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727447,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727448,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727450,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727451,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727452,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727454,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727456,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727460,Bovine,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
SRR20727463,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727464,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727467,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727468,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727469,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727470,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727471,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727473,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727474,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727475,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727476,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727479,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727480,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727482,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727483,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727484,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727485,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727487,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727488,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727489,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727490,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727491,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727492,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727493,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727495,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727496,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727497,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727498,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727499,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727500,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727502,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727503,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727504,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727505,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727506,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727507,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727508,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727509,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727510,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727511,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727512,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727515,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727516,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727517,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727518,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727519,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727520,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727521,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727522,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727523,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727527,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727529,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727532,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727533,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
SRR20727534,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727535,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727536,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727537,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727538,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727540,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727542,Bovine,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
SRR20727543,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727546,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727547,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727548,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727549,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727551,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727552,Bovine,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727555,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727558,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727560,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727562,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727563,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727566,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727568,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727572,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727573,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727574,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727575,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727577,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727578,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727579,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727580,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727581,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727582,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727583,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727584,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727585,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727586,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727587,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727588,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727589,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727590,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727592,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727595,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727596,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727597,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727598,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727599,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727600,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727601,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727602,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727604,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727606,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727610,Bovine,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
SRR20727611,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727612,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727613,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727614,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727615,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727617,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727618,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727620,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727621,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727622,Bovine,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727624,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR20727625,Bovine,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714656,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714657,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714674,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714677,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714678,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714679,Human,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
SRR5714680,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714681,Human,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR5714683,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332088,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332089,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332090,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332091,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332092,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332093,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332094,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332095,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332096,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332097,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332098,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332099,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332100,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332101,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332102,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332103,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332104,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332105,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332106,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332107,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332108,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332109,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332110,Human,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
SRR6332111,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332112,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332113,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332114,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332115,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332116,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332117,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332118,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332119,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332120,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332121,Human,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
SRR6332122,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332123,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332125,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332126,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332127,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332128,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332129,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332130,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332131,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332132,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332133,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332134,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332135,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332136,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332137,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332138,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332139,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332140,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332141,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332142,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332143,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332144,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332145,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332146,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332147,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332148,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332149,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332151,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332152,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332153,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332154,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332155,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332156,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332157,Human,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
SRR6332158,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332159,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332160,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332161,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332162,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332163,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332164,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332165,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332166,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332167,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332168,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332169,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332170,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332171,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332172,Human,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332173,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332174,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332175,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332176,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332177,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332178,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332179,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332180,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332181,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332182,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332183,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332184,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332185,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332186,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332187,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332188,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332189,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332190,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332191,Human,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
SRR6332192,Human,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
