Group	Host	Autolysin (aaa) -VFG043452	Autolysin (atl) - VFG004482	Clumping factor (clfA(1)) - VFG001289 	Clumping factor (clfA(2)) - VFG004638 	Clumping factor (clfA(3)) - VFG004639 	Clumping factor (clfB) - VFG001290 	Collagen adhesion precusor (cna) - VFG001291 	Elastin binding protein (ebp) - VFG001278	Extracellular adherence protein (eap/map) - VFG017229	Extracellular matrix binding protein adhesion (emp) - VFG043451	Fibronectin-binding protein A (fnbA) - VFG001283 	Fibronectin-binding protein B (fnbB) - VFG001282 	Fibronectin-binding protein  (efb) - VFG004491 	Serine-Rich Repeat glycoprotein adhesion (sasA) - VFG043589	LPXTG-anchored repetitive surface protein (sasC) -VFG043587	Ser-Asp rich fibrinogen binding protein (sdrC) - VFG001279 	Ser-Asp rich fibrinogen binding protein (sdrD) - VFG001280 	Ser-Asp rich fibrinogen binding protein (sdrE) - VFG004586	Count	Isolate																																																																																																																																																																						
Group21_Hum_(5/192=2.6%)	Human	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	5	ERR10438787	ERR1201312	SRR6332090	SRR6332155	SRR6332166																																																																																																																																																																		
Group22_Hum_(1/192=0.5%)	Human	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	H5497_S381																																																																																																																																																																						
Group23_Hum_(1/192=0.5%)	Human	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	SRR12701044																																																																																																																																																																						
Group24_Bov_(1/328=0.3%)	Bovine	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	SRR20727456																																																																																																																																																																						
Group25_Hum_(4/192=2.1%)	Human	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	4	SRR5714657	SRR5714683	SRR6332107	SRR6332174																																																																																																																																																																			
Group26_Hum_(1/192=0.5%)	Human	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	SRR6332152																																																																																																																																																																						
Group27_Hum_(1/192=0.5%)	Human	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	SRR6332161																																																																																																																																																																						
Group28_Hum_(1/192=0.5%)	Human	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	SRR6332175																																																																																																																																																																						
Group29_Hum_(1/192=0.5%)	Human	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	SRR6332189																																																																																																																																																																						
Group30_Hum_(1/192=0.5%)	Human	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	SRR6332191																																																																																																																																																																						
																																																																																																																																																																			
